scene,method,mult,frame,psnr,ssim,gpsnr,flicker,rays,ms,steps
bunker,PTR,0.60,26,28.1877,0.68749,28.7686,0.003009,99781,58.435,3251631
bunker,PTR,0.60,27,28.2748,0.69329,28.8822,0.002945,101231,56.220,3302048
bunker,PTR,0.60,28,28.4188,0.70019,29.0364,0.002863,100231,57.150,3263485
bunker,PTR,0.60,29,28.5212,0.70391,29.1356,0.002743,101526,57.978,3302733
bunker,PTR,0.60,30,28.5735,0.70804,29.2070,0.002606,98994,66.580,3214704
bunker,PTR,0.60,31,28.6525,0.71314,29.3257,0.002549,99053,58.287,3224655
bunker,PTR,0.60,32,28.7280,0.71723,29.4260,0.002424,100434,55.718,3267434
bunker,PTR,0.60,33,28.8023,0.72229,29.5308,0.002375,99658,57.216,3238454
bunker,PTR,0.60,34,28.8597,0.72613,29.6105,0.002326,100163,56.032,3256533
bunker,PTR,0.60,35,28.9082,0.72995,29.6828,0.002259,99345,55.892,3227073
bunker,PTR,0.60,36,28.9515,0.73331,29.7539,0.002154,100891,60.047,3295387
bunker,PTR,0.60,37,29.0380,0.73690,29.8441,0.002141,100252,56.234,3263442
bunker,PTR,0.60,38,29.0663,0.73933,29.8933,0.002068,99901,55.684,3250834
bunker,PTR,0.60,39,29.1174,0.74156,29.9538,0.002085,100178,55.254,3255891
bunker,PTR,0.60,40,29.1751,0.74471,30.0238,0.001938,99813,54.752,3247239
bunker,PTR,0.60,41,29.2047,0.74789,30.0835,0.001952,101375,55.590,3304379
bunker,PTR,0.60,42,29.2429,0.75007,30.1326,0.001902,100785,56.176,3275539
bunker,PTR,0.60,43,29.2699,0.75281,30.1875,0.001808,99581,66.444,3241961
bunker,PTR,0.60,44,29.2955,0.75523,30.2527,0.001788,99818,56.480,3251214
bunker,PTR,0.60,45,29.3336,0.75787,30.3122,0.001753,100553,55.296,3277332
bunker,PTR,0.60,46,29.3724,0.76011,30.3637,0.001741,99132,57.141,3219036
bunker,PTR,0.60,47,29.3989,0.76201,30.4110,0.001681,99437,55.324,3241303
bunker,PTR,0.60,48,29.4425,0.76435,30.4626,0.001653,100484,57.531,3277190
bunker,PTR,0.60,49,29.4868,0.76644,30.5125,0.001610,100550,55.924,3272538
bunker,PTR,0.60,50,29.5418,0.76820,30.5592,0.001616,99668,55.473,3245353
bunker,PTR,0.60,51,29.5678,0.77039,30.6057,0.001578,99007,57.439,3225533
bunker,PTR,0.60,52,29.5892,0.77194,30.6477,0.001578,99889,55.434,3254042
bunker,PTR,0.60,53,29.6268,0.77394,30.6936,0.001480,100319,55.442,3263709
bunker,PTR,0.60,54,29.6452,0.77634,30.7382,0.001449,100212,55.767,3262069
bunker,PTR,0.60,55,29.6778,0.77814,30.7780,0.001477,100472,56.614,3272823
bunker,PTR,0.60,56,29.7006,0.77982,30.8124,0.001392,98888,60.912,3217526
bunker,PTR,0.60,57,29.7076,0.78112,30.8496,0.001392,100576,57.325,3271244
bunker,PTR,0.60,58,29.7361,0.78269,30.8889,0.001409,99590,60.386,3242170
bunker,PTR,0.60,59,29.7756,0.78399,30.9270,0.001370,99742,58.823,3252098
bunker,PTR,0.60,60,29.8049,0.78550,30.9592,0.001352,100327,56.961,3263238
bunker,PTR,0.60,61,29.8239,0.78702,31.0003,0.001264,99026,54.048,3224548
bunker,PTR,0.60,62,29.8357,0.78824,31.0278,0.001296,99987,55.041,3250806
bunker,PTR,0.60,63,29.8465,0.78924,31.0576,0.001263,101332,56.231,3292247
bunker,PTR,0.60,64,29.8644,0.79085,31.0918,0.001267,99851,54.307,3244529
bunker,PTR,0.60,65,29.8685,0.79191,31.1168,0.001210,99650,56.792,3257522
bunker,PTR,0.60,66,29.9068,0.79310,31.1415,0.001256,100589,56.288,3285001
bunker,PTR,0.60,67,29.9111,0.79430,31.1692,0.001177,99782,56.052,3243099
bunker,PTR,0.60,68,29.9185,0.79513,31.1936,0.001140,99997,56.142,3251231
bunker,PTR,0.60,69,29.9355,0.79636,31.2224,0.001160,100418,58.395,3262727
bunker,PTR,0.60,70,29.9371,0.79689,31.2352,0.001114,99258,56.640,3228048
bunker,PTR,0.60,71,29.9625,0.79814,31.2653,0.001131,99590,54.576,3235127
bunker,PTR,0.60,72,29.9770,0.79911,31.2896,0.001122,99953,59.003,3250089
bunker,PTR,0.60,73,29.9992,0.80018,31.3134,0.001088,100024,61.532,3263951
bunker,PTR,0.60,74,30.0106,0.80087,31.3308,0.001081,99643,56.300,3242442
bunker,PTR,0.75,0,17.2798,0.31149,20.7045,0.000000,123426,90.948,4011598
bunker,PTR,0.75,1,19.9588,0.35937,21.6345,0.057219,125437,70.540,4075601
bunker,PTR,0.75,2,21.4773,0.40430,22.6567,0.036085,123832,76.792,4037029
bunker,PTR,0.75,3,22.5841,0.43689,23.4043,0.026327,124257,82.190,4042706
bunker,PTR,0.75,4,23.3032,0.46906,24.1561,0.019884,124327,70.512,4049122
bunker,PTR,0.75,5,23.9519,0.49199,24.7506,0.016885,125816,70.581,4094178
bunker,PTR,0.75,6,24.5446,0.51717,25.2941,0.014203,124341,70.775,4054538
bunker,PTR,0.75,7,25.0125,0.53607,25.6514,0.012268,124202,96.910,4039465
bunker,PTR,0.75,8,25.4247,0.55432,26.0347,0.010987,125168,89.243,4071665
bunker,PTR,0.75,9,25.6370,0.57229,26.1902,0.009209,125340,93.166,4082742
bunker,PTR,0.75,10,25.9399,0.58555,26.4959,0.008457,125152,112.323,4079647
bunker,PTR,0.75,11,26.2756,0.59941,26.7979,0.007589,127011,76.599,4143499
bunker,PTR,0.75,12,26.5494,0.60967,27.0417,0.006607,125228,77.924,4072538
bunker,PTR,0.75,13,26.7304,0.61705,27.2116,0.006255,125533,74.510,4085476
bunker,PTR,0.75,14,26.9768,0.62930,27.4434,0.005450,126029,70.678,4102046
bunker,PTR,0.75,15,27.1789,0.63971,27.6695,0.004868,125432,71.609,4087160
bunker,PTR,0.75,16,27.4165,0.65014,27.8990,0.004755,125888,69.525,4100134
bunker,PTR,0.75,17,27.5808,0.65968,28.0878,0.004399,123856,72.163,4039263
bunker,PTR,0.75,18,27.7332,0.66786,28.2839,0.003892,125482,70.950,4082145
bunker,PTR,0.75,19,27.8587,0.67492,28.4148,0.003820,124622,75.631,4071851
bunker,PTR,0.75,20,27.9844,0.68091,28.5742,0.003506,124574,70.856,4062429
bunker,PTR,0.75,21,28.1219,0.68858,28.7537,0.003427,123939,70.371,4037589
bunker,PTR,0.75,22,28.2419,0.69606,28.9114,0.003218,123233,68.984,4010946
bunker,PTR,0.75,23,28.3777,0.70287,29.0644,0.003109,125867,70.605,4099280
bunker,PTR,0.75,24,28.4988,0.70925,29.1952,0.003002,124723,67.129,4070304
bunker,PTR,0.75,25,28.5999,0.71476,29.3201,0.002873,124440,66.122,4047102
bunker,PTR,0.75,26,28.6758,0.71880,29.4201,0.002751,124794,68.713,4067700
bunker,PTR,0.75,27,28.7599,0.72479,29.5232,0.002676,126356,69.633,4118456
