"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","lowfreq_res_ratio","lowfreq_err_rms","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTCQ_b0.35x_f149.ppm","circle_wall","-0.00273","0.01829","0.9796","0.03311","0.9526","0.9932","0.9933","0.00379","0.01941","-0.01277","0.07742","0.2065","0.00279","0.00688","0.00665","0.9671"
"bunker_PTCQ_b0.35x_f149.ppm","ceiling_wall","-0.00381","0.01671","0.971","0.02803","0.9498","0.9907","0.99","0.00461","0.02053","-0.01484","0.06215","0.1944","0.00204","0.00554","0.00573","0.9713"
"bunker_PTCQ_b0.35x_f149.ppm","doorway_slab","-0.00446","0.01993","0.8995","0.03326","0.8718","0.9849","0.9884","0.00624","0.02242","-0.01344","0.0749","0.176","0.00125","0.00457","0.00531","0.9655"
"bunker_PTCQ_b0.35x_f149.ppm","green_wall","-0.01204","0.02492","0.656","0.03597","0.5607","0.963","1.0124","0.00722","0.0274","-0.02033","0.0815","0.1692","0.00108","0.00846","0.00776","0.9"
"bunker_PTCR_post_b0.35x_f149.ppm","circle_wall","-0.0023","0.01766","0.9741","0.03227","0.9549","0.9871","0.9872","0.00409","0.01838","-0.01255","0.07596","0.1902","0.0019","0.0058","0.00595","0.9852"
"bunker_PTCR_post_b0.35x_f149.ppm","ceiling_wall","-0.00283","0.01619","0.9599","0.02748","0.9516","0.9867","0.9878","0.00514","0.02009","-0.01329","0.06118","0.201","0.00189","0.0051","0.00552","0.9704"
"bunker_PTCR_post_b0.35x_f149.ppm","doorway_slab","-0.00311","0.01949","0.8908","0.03319","0.8722","0.9844","0.9885","0.00614","0.0219","-0.01177","0.07462","0.1952","0.0013","0.00432","0.00501","0.9539"
"bunker_PTCR_post_b0.35x_f149.ppm","green_wall","-0.00755","0.02223","0.6652","0.03529","0.5816","0.9532","0.9906","0.00675","0.02572","-0.01612","0.08075","0.2317","0.00134","0.00781","0.00724","0.8349"
"bunker_PTCS_post_b0.35x_f149.ppm","circle_wall","-0.00227","0.01778","0.9742","0.03233","0.9547","0.9869","0.9868","0.00416","0.01842","-0.01254","0.07603","0.1902","0.00187","0.00583","0.00602","0.986"
"bunker_PTCS_post_b0.35x_f149.ppm","ceiling_wall","-0.00287","0.0164","0.9601","0.02756","0.9513","0.9869","0.988","0.00527","0.02012","-0.0133","0.06128","0.201","0.00191","0.00517","0.00558","0.9705"
"bunker_PTCS_post_b0.35x_f149.ppm","doorway_slab","-0.00309","0.0196","0.8907","0.03321","0.872","0.9846","0.9886","0.00618","0.02198","-0.01173","0.07471","0.1952","0.0013","0.00437","0.00506","0.9541"
"bunker_PTCS_post_b0.35x_f149.ppm","green_wall","-0.00766","0.02249","0.6672","0.03537","0.5797","0.9559","0.9926","0.00689","0.02583","-0.01618","0.08077","0.2287","0.00133","0.00781","0.0073","0.8425"
"bunker_PTCT_post_b0.35x_f149.ppm","circle_wall","-0.0023","0.01767","0.9741","0.03228","0.9549","0.9871","0.9871","0.00409","0.01839","-0.01254","0.07599","0.1902","0.0019","0.00586","0.00604","0.9859"
"bunker_PTCT_post_b0.35x_f149.ppm","ceiling_wall","-0.00283","0.01621","0.9599","0.02747","0.9516","0.9866","0.9878","0.00516","0.0201","-0.01328","0.06118","0.1993","0.0019","0.00519","0.00562","0.971"
"bunker_PTCT_post_b0.35x_f149.ppm","doorway_slab","-0.00311","0.01948","0.8907","0.03318","0.8723","0.9845","0.9885","0.00613","0.02189","-0.01183","0.07461","0.1936","0.0013","0.00438","0.00506","0.9543"
"bunker_PTCT_post_b0.35x_f149.ppm","green_wall","-0.0076","0.02226","0.6664","0.03531","0.5812","0.9536","0.9906","0.00674","0.02574","-0.01622","0.08079","0.2317","0.00136","0.00785","0.00732","0.8457"
"bunker_PTCU_post_b0.35x_f149.ppm","circle_wall","-0.00232","0.01767","0.9741","0.03228","0.9549","0.9872","0.9872","0.0041","0.0184","-0.01253","0.076","0.1902","0.00188","0.00592","0.00613","0.9868"
"bunker_PTCU_post_b0.35x_f149.ppm","ceiling_wall","-0.00284","0.01622","0.96","0.02748","0.9515","0.9867","0.9878","0.00516","0.02011","-0.01325","0.06122","0.1993","0.00191","0.0053","0.00571","0.9717"
