scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,GFC,1.00,121,22.7002,0.35026,0.003195,96611,74.380,3009247
bunker,GFC,1.00,122,22.7194,0.35000,0.002812,96185,77.449,3007742
bunker,GFC,1.00,123,22.7121,0.35022,0.002976,96312,73.215,3029483
bunker,GFC,1.00,124,22.7221,0.35036,0.002711,96263,75.105,2992962
bunker,GFC,1.00,125,22.7238,0.35059,0.002909,96052,77.611,2972874
bunker,GFC,1.00,126,22.7206,0.35044,0.003058,96497,76.872,2988339
bunker,GFC,1.00,127,22.7317,0.35020,0.002941,98381,71.234,3099930
bunker,GFC,1.00,128,22.7361,0.35046,0.002989,96889,71.382,3024424
bunker,GFC,1.00,129,22.7285,0.35041,0.002818,96362,73.930,3015088
bunker,GFC,1.00,130,22.6951,0.34902,0.003322,96443,73.692,3033538
bunker,GFC,1.00,131,22.6910,0.34922,0.003018,96284,76.732,3001879
bunker,GFC,1.00,132,22.6880,0.34890,0.002993,96004,69.717,2956145
bunker,GFC,1.00,133,22.6822,0.34911,0.002992,95856,145.505,2970176
bunker,GFC,1.00,134,22.6789,0.34908,0.003122,98326,114.051,3104440
bunker,GFC,1.00,135,22.6782,0.34908,0.002975,96931,92.991,3023782
bunker,GFC,1.00,136,22.6520,0.34854,0.003076,96189,106.050,3008211
bunker,GFC,1.00,137,22.6229,0.34863,0.002955,96310,88.665,3035451
bunker,GFC,1.00,138,22.6333,0.34901,0.002898,96247,90.548,3007599
bunker,GFC,1.00,139,22.6414,0.34904,0.002981,95960,123.238,2962781
bunker,GFC,1.00,140,22.6420,0.34940,0.002843,96034,138.045,2976420
bunker,GFC,1.00,141,22.6486,0.34927,0.003332,98243,126.078,3083687
bunker,GFC,1.00,142,22.6629,0.34961,0.002978,97404,127.120,3057199
bunker,GFC,1.00,143,22.6936,0.34993,0.002927,96134,106.375,2991435
bunker,GFC,1.00,144,22.6788,0.34925,0.003022,96202,99.700,3019759
bunker,GFC,1.00,145,22.6734,0.34913,0.003029,96393,84.587,3010131
bunker,GFC,1.00,146,22.6902,0.34952,0.002845,95997,78.852,2956272
bunker,GFC,1.00,147,22.6997,0.34967,0.002905,95917,75.006,2970260
bunker,GFC,1.00,148,22.6964,0.34965,0.002844,98135,104.347,3080272
bunker,GFC,1.00,149,22.6948,0.34967,0.002926,97589,111.475,3069941
