scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,DDGI,1.00,58,29.1619,0.67126,0.002095,107039,116.034,2783774
bunker,DDGI,1.00,59,29.1190,0.67062,0.002249,107213,179.658,2787644
bunker,DDGI,1.00,60,29.0791,0.67100,0.001646,106865,157.431,2769348
bunker,DDGI,1.00,61,29.0874,0.67095,0.001792,106689,120.731,2758718
bunker,DDGI,1.00,62,29.0519,0.67066,0.001569,107200,124.632,2780693
bunker,DDGI,1.00,63,29.0335,0.67026,0.002231,106876,139.971,2773538
bunker,DDGI,1.00,64,29.0066,0.67013,0.001396,106383,115.644,2758324
bunker,DDGI,1.00,65,28.9366,0.66923,0.001678,106671,104.039,2757299
bunker,DDGI,1.00,66,28.9483,0.66888,0.002222,106948,142.755,2780173
bunker,DDGI,1.00,67,28.8492,0.66856,0.001828,106944,135.165,2777721
bunker,DDGI,1.00,68,29.0023,0.66979,0.001891,106924,134.165,2773910
bunker,DDGI,1.00,69,28.8900,0.66971,0.002193,107136,122.835,2779128
bunker,DDGI,1.00,70,28.8762,0.66947,0.001873,106723,106.878,2763140
bunker,DDGI,1.00,71,28.8907,0.66908,0.002120,106795,169.655,2766216
bunker,DDGI,1.00,72,28.8686,0.67002,0.002060,107021,113.426,2773605
bunker,DDGI,1.00,73,28.9074,0.67043,0.001902,106457,135.396,2757337
bunker,DDGI,1.00,74,28.7372,0.66965,0.001979,106331,136.861,2747125
bunker,DDGI,1.00,75,26.2439,0.71243,0.014955,107291,147.905,2835927
bunker,DDGI,1.00,76,27.1838,0.71638,0.007230,107435,95.453,2842727
bunker,DDGI,1.00,77,27.9326,0.71615,0.006640,107314,110.751,2843080
bunker,DDGI,1.00,78,28.3093,0.71701,0.004518,107144,135.476,2823464
bunker,DDGI,1.00,79,27.0669,0.70709,0.007178,107440,142.733,2829910
bunker,DDGI,1.00,80,27.1687,0.70333,0.005755,107322,109.449,2824094
bunker,DDGI,1.00,81,27.3634,0.70487,0.003974,107275,117.490,2821719
bunker,DDGI,1.00,82,27.5281,0.70445,0.003955,107123,97.939,2816834
bunker,DDGI,1.00,83,28.0488,0.70664,0.003464,106965,102.367,2813979
bunker,DDGI,1.00,84,28.1840,0.70891,0.003273,106995,179.207,2816760
bunker,DDGI,1.00,85,28.4837,0.70961,0.003945,107137,151.468,2831257
bunker,DDGI,1.00,86,28.3888,0.70968,0.004423,107667,102.315,2848797
bunker,DDGI,1.00,87,28.7239,0.71324,0.004214,107462,106.867,2835935
bunker,DDGI,1.00,88,28.8524,0.71493,0.003190,107167,103.869,2821595
bunker,DDGI,1.00,89,28.7606,0.71382,0.003181,107350,106.514,2821316
bunker,DDGI,1.00,90,28.8521,0.71545,0.003192,107267,104.114,2816845
bunker,DDGI,1.00,91,28.8749,0.71647,0.003085,106961,99.362,2811143
bunker,DDGI,1.00,92,28.8269,0.71667,0.002401,106717,133.887,2804962
bunker,DDGI,1.00,93,28.2764,0.71530,0.003313,107106,108.963,2816466
bunker,DDGI,1.00,94,28.3894,0.71541,0.004031,107336,91.907,2838827
bunker,DDGI,1.00,95,28.5430,0.71681,0.003176,107221,108.577,2839016
bunker,DDGI,1.00,96,28.6679,0.71793,0.003363,107608,115.601,2841513
bunker,DDGI,1.00,97,28.5980,0.71714,0.002834,107420,119.567,2834911
bunker,DDGI,1.00,98,28.7024,0.71827,0.002385,107178,123.825,2816316
bunker,DDGI,1.00,99,28.6955,0.71869,0.002337,107240,91.926,2820717
bunker,DDGI,1.00,100,28.6624,0.71916,0.002335,107350,118.424,2821557
bunker,DDGI,1.00,101,28.8224,0.72006,0.002250,106815,110.048,2807238
bunker,DDGI,1.00,102,28.7359,0.71992,0.002294,106768,100.045,2805127
bunker,DDGI,1.00,103,28.6293,0.72032,0.002774,107382,139.312,2837004
bunker,DDGI,1.00,104,28.7257,0.72084,0.002520,107326,131.146,2840321
bunker,DDGI,1.00,105,28.6566,0.72110,0.002150,107329,141.014,2838574
bunker,DDGI,1.00,106,28.4763,0.71961,0.002688,107384,97.185,2830300
bunker,DDGI,1.00,107,28.5366,0.71956,0.002836,107486,137.130,2833948
bunker,DDGI,1.00,108,28.5127,0.71947,0.002562,107171,92.503,2814081
